,review_name,pmid,outcome_name,comparison_name,metric,intervention1,intervention2,estimate,lower,upper,result_str,direction,XML_file_names
9266,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Rebleeding,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.545698925,0.365135321,0.8155533,sig diff, neg,PMC2722000.nxml
9269,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Early rebleeding (up to 7 days),Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.187096774,0.057103698,0.6130111429999999,sig diff, neg,PMC2722000.nxml
24180,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16033307,Gametocyte development,Artesunate plus amodiaquine vs Amodiaquine plus sulfadoxine-pyrimethamine,RR,AS+AQ,AQ+SP,0.665395483,0.535236295,0.827206887,sig diff, neg,PMC1181876.nxml
24184,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16033307,Serious adverse events (including deaths),Artesunate plus amodiaquine vs Amodiaquine plus sulfadoxine-pyrimethamine,RR,AS+AQ,AQ+SP,0.332877337,0.107861186,1.027314141,no sig diff,,PMC1181876.nxml
4272,CD000978 v. 13.0 Interventions for preventing oral mucositis for patients with cancer receiving treatment.rm5,11161394,Mucositis (severe),Amifostine versus placebo/no treatment,RR,Amifostine,Control,0.5,0.208113907,1.20126523,no sig diff,,PMC2363753.nxml
24156,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16871329,Gametocyte development,Artemether-lumefantrine vs Artesunate plus amodiaquine,RR,AL6,AS+AQ,0.336272781,0.153742306,0.7355124690000001,sig diff, neg,PMC1488893.nxml
24160,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16871329,Serious adverse events (including deaths),Artemether-lumefantrine vs Artesunate plus amodiaquine,RR,AL6,AS+AQ,0.995049505,0.06266928,15.79918455,no sig diff,,PMC1488893.nxml
27819,CD008530 v. 2.0 Antibiotic therapy for preventing infections in patients with acute stroke.rm5,18478129,Case fatality at the end of follow-up,Forest plot of comparison: primary outcome,RR,Experimental,Control,0.879120879,0.32430435399999996,2.383111761,no sig diff,,PMC2373885.nxml
27823,CD008530 v. 2.0 Antibiotic therapy for preventing infections in patients with acute stroke.rm5,18478129,Dependency at the end of follow-up,Forest plot of comparison: primary outcome,RR,Experimental,Control,0.797720798,0.46415363299999995,1.3710082719999999,no sig diff,,PMC2373885.nxml
27827,CD008530 v. 2.0 Antibiotic therapy for preventing infections in patients with acute stroke.rm5,18478129,Number of infections at the end of follow-up,Forest plot of comparison: secondary outcomes,RR,Experimental,Control,0.473372781,0.200126732,1.119699443,no sig diff,,PMC2373885.nxml
